"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","Metrics","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
"38","22","2","1","30","0.001","PERF2","204.042380952384","3.33859969344209","23.9827409867824","59.8975590985261","1.62215304374695"
"38","23","4","1","30","0.01","PERF1","202.328095238098","14.5551557021474","23.1054553558361","32.1596090491154","1.48508596420288"
"38","23","2","1","30","0.001","PERF2","202.328095238098","12.734047275638","21.5682457144644","29.5954379112787","1.36797499656677"
"38","24","2","1","30","1e-04","PERF1","204.728095238098","9.92576871420451","23.2283945531641","23.2062607239591","1.33196401596069"
"38","24","5","2","30","0.001","PERF2","204.728095238098","25.4379804287307","14.6330771796779","41.6991106037009","1.27789092063904"
"38","25","4","1","30","0.001","PERF1","203.962380952384","5.14989501494956","20.2854216178949","21.9169690335065","1.24788808822632"
"38","25","2","1","30","1e-05","PERF2","203.962380952384","3.69566037828563","18.5573129902477","55.5938633182362","1.3069281578064"
"38","26","2","1","30","1e-05","PERF1","200.962380952384","17.8336595175597","18.0218575122038","19.3479324078322","1.26992201805115"
"38","26","5","2","30","0.01","PERF2","200.962380952384","12.8270508270464","21.7679924144937","28.6988254605032","1.3009078502655"
"38","27","1","0","30","0.01","PERF1","205.316666666669","8.43465590154661","38.5511187308977","19.5638263382322","1.23689699172974"
"38","27","2","1","30","0.001","PERF2","205.316666666669","7.26016598481782","22.7128509931052","58.1698658086337","1.39197397232056"
"38","28","17","6","30","0.01","PERF1","203.248095238098","12.2176139028529","25.6790881636137","20.6582210273403","1.26890182495117"
"38","28","2","1","30","0.01","PERF2","203.248095238098","7.9853032085706","19.1439621397577","48.5477929907555","1.30893301963806"
"38","29","10","3","30","0.01","PERF1","204.185238095241","0.683674495825517","19.7020968356007","24.1597610316849","1.34097099304199"
"38","29","2","1","30","0.001","PERF2","204.185238095241","4.14297642276957","19.0439792025757","32.7786343246492","1.27488899230957"
"38","30","2","1","30","0.01","PERF1","203.802380952384","6.10344163635803","22.2976530243712","20.1911966678835","1.32592511177063"
"38","30","2","1","30","0.001","PERF2","203.802380952384","21.6760824973928","20.5520359896677","66.1800899069078","1.39699292182922"
"57","1","4","1","30","0.001","PERF1","195.479487179489","15.0486632963482","14.9291226893482","18.8813671914245","1.91836404800415"
"57","1","2","1","30","0.01","PERF2","195.479487179489","3.62858391227858","18.1935015473683","52.145958082821","1.98843097686768"
"57","2","23","8","30","0.01","PERF1","192.975641025643","10.2568762788541","22.3923904127841","20.4204230968533","1.96438193321228"
"57","2","5","2","30","0.01","PERF2","192.975641025643","13.9995975889564","22.360698326498","43.8247513670305","2.01845097541809"
"57","3","5","2","30","0.001","PERF1","196.179487179489","18.0045882529498","20.6799138305797","19.6649603120433","1.96239614486694"
"57","3","11","4","30","0.01","PERF2","196.179487179489","3.68903310651938","34.7446305270278","34.6582451574938","1.92935609817505"
"57","4","4","1","30","1e-04","PERF1","192.537179487182","12.1960469510135","15.8826941029687","18.9655719816541","2.01544904708862"
"57","4","2","1","30","1e-05","PERF2","192.537179487182","6.55251353989135","13.9389849509265","30.5899750548966","1.93737602233887"
"57","5","7","2","30","0.001","PERF1","195.556410256412","15.474638613089","18.7016635669275","19.2802135456247","1.95840787887573"
"57","5","3","1","30","1e-04","PERF2","195.556410256412","5.07495665907734","15.2166563447733","51.2897476322119","2.10549807548523"
"57","6","8","3","30","0.01","PERF1","197.033333333335","11.4440849181194","19.9348982256657","20.1318178409366","1.91334390640259"
"57","6","2","1","30","1e-06","PERF2","197.033333333335","17.2779662901908","18.5740349093376","43.7873216681426","1.8873610496521"
"57","7","2","1","30","1e-04","PERF1","198.421794871797","5.1456280686763","20.723338961435","20.137511081276","1.93337607383728"
"57","7","2","1","30","0.01","PERF2","198.421794871797","4.64482983731127","19.6777987368252","49.9217049346559","1.84230995178223"
"57","8","28","9","30","0.01","PERF1","201.179487179489","18.2148653575811","24.0318979096815","21.038027974169","1.96337795257568"
"57","8","4","1","30","1e-05","PERF2","201.179487179489","30.6007200387286","15.5554423739131","32.026903611963","1.92837285995483"
"57","9","5","2","30","0.001","PERF1","195.437179487182","5.98326086317687","20.0796778804835","20.9212845748833","1.90135192871094"
"57","9","2","1","30","0.001","PERF2","195.437179487182","14.4538804894983","17.8803993390824","74.8830898892317","1.98242712020874"
"57","10","2","1","30","0.01","PERF1","192.191025641028","10.9710181129782","18.204467317848","19.1583496920033","2.09649205207825"
"57","10","3","1","30","1e-04","PERF2","192.191025641028","16.7531378595297","15.1961560076081","38.1710492315981","1.92136693000793"
"57","11","14","5","30","0.01","PERF1","197.229487179489","9.2003649553249","21.0851527796296","22.3435396082775","1.91536498069763"
"57","11","6","2","30","1e-05","PERF2","197.229487179489","6.1782826857046","14.7283579671194","51.4768550820299","2.57584881782532"
"57","12","8","3","30","0.01","PERF1","197.729487179489","8.26495997333532","17.3342483793098","19.4352816663692","2.10448002815247"
"57","12","2","1","30","1e-04","PERF2","197.729487179489","2.20048332111418","15.9239122307183","41.8799534312254","2.52379298210144"
